Carcass ID,Mass (kg),Post-Deployment Mass (kg),kg consumed,Proportion consumed
1,0.1459206654,0,0.1459206654,1
2,0.1243296686,0,0.1243296686,1
3,0.141430101,0,0.141430101,1
4,0.09713680604,0,0.09713680604,1
5,0.1495494044,0,0.1495494044,1
6,0.1280944853,0,0.1280944853,1
7,0.138277634,0,0.138277634,1
9,0.1342179823,0,0.1342179823,1
10,0.1038499731,0,0.1038499731,1
11,0.1167093168,0,0.1167093168,1
12,0.1409311494,0,0.1409311494,1
13,0.1575326301,0,0.1575326301,1
14,0.1411806252,0.1164,0.02478062516,0.1755242629
16,0.1287295146,0,0.1287295146,1
17,0.1726826153,0,0.1726826153,1
18,0.1164144818,0,0.1164144818,1
19,0.1320860981,0,0.1320860981,1
20,0.1379601193,0,0.1379601193,1
21,0.1166185983,0,0.1166185983,1
22,0.09922333094,0,0.09922333094,1
23,0.1345581766,0.07695,0.05760817656,0.4281283979
24,0.13435406,0,0.13435406,1
25,0.1383003136,0,0.1383003136,1
26,0.1298181363,0,0.1298181363,1
28,0.1494360063,0,0.1494360063,1
29,0.4478997858,0.4478997858,0,0
30,0.1395930519,0,0.1395930519,1
31,0.1197710653,0,0.1197710653,1
32,0.117412385,0,0.117412385,1
33,0.1530647453,0,0.1530647453,1
35,0.1251007756,0.0603,0.06480077565,0.5179886001
36,0.1445372087,0,0.1445372087,1
37,0.1247379018,0,0.1247379018,1
39,0.1372570512,0,0.1372570512,1
41,0.1332654383,0,0.1332654383,1
42,0.1596645142,0,0.1596645142,1
43,0.1939560974,0,0.1939560974,1
44,0.1216988329,0,0.1216988329,1
45,0.1357148371,0,0.1357148371,1
46,0.133106681,0.13021,0.002896680977,0.02176210056
47,0.1198617838,0,0.1198617838,1
48,0.1018088074,0,0.1018088074,1
49,0.1449681215,0,0.1449681215,1
50,0.1266203101,0,0.1266203101,1
52,0.1176845404,0.04334,0.0743445404,0.6317273292
53,0.1342406619,0,0.1342406619,1
