site_name,carcass_id,no_scavenge,partial_scavenge,mass_kg,kg_consumed,proportion_consumed,deployment_date_time,deployment_type_AM_PM,first_scavenger_date_time,full_scavenge_date_time,hours_to_first_scavenging_event,hours_to_full_scavenge,percent_developed_1km
Laguna,2,TRUE,FALSE,0.1243296686,0.1243296686,1,2023-02-20T08:21:44Z,day,NA,NA,NA,NA,0.0767148014440433
Seabright 1,3,TRUE,FALSE,0.141430101,0.141430101,1,2023-02-20T08:59:40Z,day,NA,NA,NA,NA,0.9327442317133038
Scotts,5,FALSE,FALSE,0.1495494044,0.1495494044,1,2023-02-21T07:37:40Z,day,2023-02-21T08:11:28Z,2023-02-21T08:11:28Z,0.5633333333333334,0.5633333333333334,0.11151641479937469
Seabright 1,6,TRUE,FALSE,0.1280944853,0.1280944853,1,2023-02-21T10:06:54Z,day,NA,NA,NA,NA,0.9327442317133038
Laguna,7,FALSE,FALSE,0.138277634,0.138277634,1,2023-02-21T08:20:03Z,day,2023-02-21T09:53:37Z,2023-02-21T09:53:37Z,1.5594444444444444,1.5594444444444444,0.0767148014440433
Seabright 1,9,FALSE,FALSE,0.1342179823,0.1342179823,1,2023-02-21T17:22:26Z,night,2023-02-21T20:23:53Z,2023-02-21T20:23:53Z,3.0241666666666664,3.0241666666666664,0.9327442317133038
Scotts,10,FALSE,FALSE,0.1038499731,0.1038499731,1,2023-02-21T17:54:13Z,night,2023-02-22T06:40:32Z,2023-02-22T06:40:32Z,12.771944444444445,12.771944444444445,0.11151641479937469
Laguna,11,FALSE,FALSE,0.1167093168,0.1167093168,1,2023-02-21T18:17:08Z,night,2023-02-21T18:26:10Z,2023-02-22T00:27:00Z,0.15055555555555555,6.164444444444444,0.0767148014440433
Scotts,13,FALSE,FALSE,0.1575326301,0.1575326301,1,2023-02-24T08:14:48Z,day,2023-02-24T08:24:49Z,2023-02-24T08:24:49Z,0.16694444444444445,0.16694444444444445,0.11151641479937469
Laguna,14,FALSE,TRUE,0.1411806252,0.02478062516,0.1755242629,2023-02-23T18:10:03Z,night,2023-02-23T18:46:44Z,NA,0.6113888888888889,NA,0.0767148014440433
Seabright 2,16,FALSE,FALSE,0.1287295146,0.1287295146,1,2023-02-23T19:03:08Z,night,2023-02-24T05:26:21Z,2023-02-24T05:26:21Z,10.386944444444444,10.386944444444444,0.9202072538860104
Scotts,18,FALSE,FALSE,0.1164144818,0.1164144818,1,2023-02-24T17:45:22Z,night,2023-02-24T20:54:28Z,2023-02-25T06:45:48Z,3.151666666666667,13.007222222222222,0.11151641479937469
Laguna,19,FALSE,FALSE,0.1320860981,0.1320860981,1,2023-02-24T08:34:51Z,day,2023-02-24T14:39:08Z,2023-02-24T14:39:08Z,6.0713888888888885,6.0713888888888885,0.0767148014440433
Seabright 2,20,FALSE,FALSE,0.1379601193,0.1379601193,1,2023-02-24T09:06:59Z,day,2023-02-24T10:44:03Z,2023-02-24T10:50:47Z,1.6177777777777778,1.73,0.9202072538860104
Seabright 1,21,FALSE,FALSE,0.1166185983,0.1166185983,1,2023-02-24T09:17:46Z,day,2023-02-24T10:45:43Z,2023-02-24T10:45:43Z,1.4658333333333333,1.4658333333333333,0.9327442317133038
Waddell,23,FALSE,TRUE,0.1345581766,0.05760817656,0.4281283979,2023-02-24T17:25:46Z,night,2023-02-24T18:29:12Z,NA,1.0572222222222223,NA,0.15126050420168066
Laguna,25,FALSE,FALSE,0.1383003136,0.1383003136,1,2023-02-24T18:08:27Z,night,2023-02-24T18:37:56Z,2023-02-25T07:09:26Z,0.4913888888888889,13.016388888888889,0.0767148014440433
Seabright 2,26,FALSE,FALSE,0.1298181363,0.1298181363,1,2023-02-24T18:50:44Z,night,2023-02-25T04:23:50Z,2023-02-25T04:23:50Z,9.551666666666666,9.551666666666666,0.9202072538860104
Seabright 1,28,FALSE,FALSE,0.1494360063,0.1494360063,1,2023-02-24T19:03:58Z,night,2023-02-24T19:38:01Z,2023-02-24T19:38:01Z,0.5675,0.5675,0.9327442317133038
Waddell,29,TRUE,FALSE,0.4478997858,0,0,2023-02-25T07:38:30Z,day,NA,NA,NA,NA,0.15126050420168066
Scotts,30,FALSE,FALSE,0.1395930519,0.1395930519,1,2023-02-25T07:55:24Z,day,2023-02-25T07:59:08Z,2023-02-25T07:59:08Z,0.06222222222222222,0.06222222222222222,0.11151641479937469
Laguna,31,FALSE,FALSE,0.11977106529999999,0.11977106529999999,1,2023-02-25T08:21:37Z,day,2023-02-25T08:28:21Z,2023-02-25T08:31:11Z,0.11222222222222222,0.15944444444444444,0.0767148014440433
Seabright 2,32,FALSE,FALSE,0.117412385,0.117412385,1,2023-02-25T08:52:04Z,day,2023-02-25T13:01:10Z,2023-02-25T13:01:10Z,4.151666666666666,4.151666666666666,0.9202072538860104
