deployment_number,sd_number,date,time,video_number,carcass_id,partial_scavenge,full_scavenge_carcass_removal,camera_trappers,deer_mouse,common_raven,american_crow,rat,coyote,domestic_dog,raccoon,gray_fox,striped_skunk,virginia_opossum,western_gull,domestic_cat,human_visitors,domestic_dog_visitors,camera_failure,date_time
1,3,2/22/2023,06:40:32,6,10,FALSE,TRUE,FALSE,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-22T06:40:32Z
1,3,2/22/2023,07:29:49,7,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-22T07:29:49Z
1,3,2/21/2023,07:37:40,1,5,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T07:37:40Z
1,3,2/21/2023,08:11:28,2,5,FALSE,TRUE,FALSE,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T08:11:28Z
1,3,2/21/2023,17:51:31,3,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T17:51:31Z
1,3,2/21/2023,17:52:50,4,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T17:52:50Z
1,3,2/21/2023,17:54:13,5,10,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T17:54:13Z
1,4,2/21/2023,00:14:17,20,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T00:14:17Z
1,4,2/21/2023,00:47:13,21,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T00:47:13Z
1,4,2/21/2023,01:41:33,22,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T01:41:33Z
1,4,2/21/2023,04:28:41,23,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T04:28:41Z
1,4,2/22/2023,05:11:48,53,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-22T05:11:48Z
1,4,2/21/2023,06:17:30,24,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T06:17:30Z
1,4,2/21/2023,07:29:26,25,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T07:29:26Z
1,4,2/22/2023,08:31:57,54,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-22T08:31:57Z
1,4,2/22/2023,08:34:34,55,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-22T08:34:34Z
1,4,2/22/2023,08:36:27,56,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-22T08:36:27Z
1,4,2/22/2023,08:37:46,57,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-22T08:37:46Z
1,4,2/20/2023,08:59:40,1,3,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-20T08:59:40Z
1,4,2/20/2023,09:19:49,2,3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-20T09:19:49Z
1,4,2/20/2023,09:26:26,3,3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-20T09:26:26Z
1,4,2/20/2023,09:56:04,4,3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,2023-02-20T09:56:04Z
1,4,2/21/2023,10:05:14,26,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T10:05:14Z
1,4,2/21/2023,10:06:54,27,6,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T10:06:54Z
1,4,2/21/2023,11:01:55,28,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T11:01:55Z
1,4,2/21/2023,11:03:17,29,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T11:03:17Z
1,4,2/21/2023,11:04:14,30,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T11:04:14Z
1,4,2/21/2023,11:07:55,31,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T11:07:55Z
1,4,2/21/2023,11:23:37,32,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T11:23:37Z
1,4,2/21/2023,11:28:10,33,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T11:28:10Z
1,4,2/21/2023,11:29:54,34,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T11:29:54Z
1,4,2/21/2023,11:54:07,35,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T11:54:07Z
1,4,2/21/2023,11:58:24,36,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T11:58:24Z
1,4,2/21/2023,11:59:16,37,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T11:59:16Z
1,4,2/21/2023,12:00:43,38,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T12:00:43Z
1,4,2/21/2023,12:11:14,39,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T12:11:14Z
1,4,2/21/2023,12:21:34,40,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T12:21:34Z
1,4,2/21/2023,12:39:01,41,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T12:39:01Z
1,4,2/21/2023,12:41:35,42,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,2023-02-21T12:41:35Z
1,4,2/21/2023,12:47:36,43,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,2023-02-21T12:47:36Z
1,4,2/21/2023,13:42:02,44,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T13:42:02Z
1,4,2/21/2023,13:49:53,45,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T13:49:53Z
1,4,2/20/2023,13:58:13,5,3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-20T13:58:13Z
1,4,2/20/2023,13:59:05,6,3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-20T13:59:05Z
1,4,2/20/2023,14:00:07,7,3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-20T14:00:07Z
1,4,2/20/2023,14:13:12,8,3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-20T14:13:12Z
1,4,2/21/2023,14:14:59,46,6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T14:14:59Z
1,4,2/20/2023,14:19:42,9,3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-20T14:19:42Z
1,4,2/20/2023,14:20:58,10,3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-20T14:20:58Z
1,4,2/20/2023,14:26:36,12,3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-20T14:26:36Z
1,4,2/20/2023,14:45:38,11,3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-20T14:45:38Z
1,4,2/20/2023,14:49:23,13,3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-20T14:49:23Z
1,4,2/20/2023,14:55:24,14,3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-20T14:55:24Z
1,4,2/20/2023,14:58:37,15,3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-20T14:58:37Z
1,4,2/20/2023,15:00:40,16,3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-20T15:00:40Z
1,4,2/20/2023,15:14:16,17,3,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,2023-02-20T15:14:16Z
1,4,2/21/2023,17:19:18,47,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T17:19:18Z
1,4,2/21/2023,17:22:26,48,9,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T17:22:26Z
1,4,2/21/2023,17:39:17,49,9,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,2023-02-21T17:39:17Z
1,4,2/21/2023,20:23:53,50,9,FALSE,TRUE,FALSE,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T20:23:53Z
1,4,2/21/2023,22:23:28,51,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,2023-02-21T22:23:28Z
