Site Name,Deployment Number,Deploy Date,Deploy Time,Cam #,SD #,Carcass ID,No Scavenge?,Partial Scavenge?,No/Partial Scavenge Retrieve Date,No/Partial Scavenge Retrieve Time,Camera Failure
Scotts,1,20 Feb 23,7:32,5,3,1,FALSE,FALSE,NA,NA,TRUE
Laguna,1,20 Feb 23,8:07,8,8,2,TRUE,FALSE,20 Feb 23,17:58,FALSE
Seabright 1,1,20 Feb 23,8:57,9,4,3,TRUE,FALSE,NA,NA,FALSE
Scotts,1,20 Feb 23,17:35,5,3,4,FALSE,FALSE,NA,NA,TRUE
Scotts,1,21 Feb 23,7:38,5,3,5,FALSE,FALSE,NA,NA,FALSE
Seabright 1,1,21 Feb 23,7:29,9,4,6,TRUE,FALSE,21 Feb 23,17:23,FALSE
Laguna,1,21 Feb 23,8:21,8,8,7,FALSE,FALSE,NA,NA,FALSE
Seabright 1,1,21 Feb 23,17:23,9,4,9,FALSE,FALSE,NA,NA,FALSE
Scotts ,1,21 Feb 23,17:56,5,3,10,FALSE,FALSE,NA,NA,FALSE
Laguna,1,21 Feb 23,18:18,8,8,11,FALSE,FALSE,NA,NA,FALSE
Waddell,2,23 Feb 23,17:10,11,11,12,FALSE,FALSE,NA,NA,TRUE
Scotts,2,23 Feb 23,17:44,5,3,13,FALSE,FALSE,NA,NA,FALSE
Laguna,2,23 Feb 23,18:10,8,8,14,FALSE,TRUE,24 Feb 23,8:39,FALSE
Seabright 2,2,23 Feb 23,19:19,12,17,16,FALSE,FALSE,NA,NA,FALSE
Seabright 1,2,23 Feb 23,19:00,9,4,17,FALSE,FALSE,NA,NA,TRUE
Scotts,2,24 Feb 23,8:16,5,3,18,FALSE,FALSE,NA,NA,FALSE
Laguna,2,24 Feb 23,8:39,8,8,19,FALSE,FALSE,NA,NA,FALSE
Seabright 2,2,24 Feb 23,9:08,12,17,20,FALSE,FALSE,NA,NA,FALSE
Seabright 1,2,24 Feb 23,9:19,9,4,21,FALSE,FALSE,NA,NA,FALSE
Waddell,2,24 Feb 23,17:27,11,16,23,FALSE,TRUE,25 Feb 23,7:39,FALSE
Scotts,2,24 Feb 23,17:46,5,3,24,FALSE,FALSE,NA,NA,TRUE
Laguna,2,24 Feb 23,18:10,8,8,25,FALSE,FALSE,NA,NA,FALSE
Seabright 2,2,24 Feb 23,18:52,12,17,26,FALSE,FALSE,NA,NA,FALSE
Seabright 1,2,24 Feb 23,19:05,9,4,28,FALSE,FALSE,NA,NA,FALSE
Waddell,2,25 Feb 23,7:39,11,16,29,TRUE,FALSE,25 Feb 23,16:51,FALSE
Scotts,2,25 Feb 23,7:57,5,3,30,FALSE,FALSE,NA,NA,FALSE
Laguna,2,25 Feb 23,8:24,8,8,31,FALSE,FALSE,NA,NA,FALSE
Seabright 2,2,25 Feb 23,8:53,12,17,32,FALSE,FALSE,NA,NA,FALSE
Seabright 1,2,25 Feb 23,9:04,9,4,33,FALSE,FALSE,NA,NA,FALSE
Waddell,3,26 Feb 23,17:42,8,8,35,FALSE,TRUE,27 Feb 23,8:04,FALSE
Scotts,3,26 Feb 23,18:00,11,16,36,FALSE,FALSE,NA,NA,FALSE
