Name,Latitude,Longitude
Waddell,37.0951311,-122.2780882
Scotts,37.036483,-122.228197
Bonny Doon,36.9994754,-122.1809596
Panther,36.9930379,-122.1696308
Laguna,36.9834736,-122.1550692
Four Mile,36.9665608,-122.1222113
Three Mile,36.9614504,-122.1119016
Strawberry,36.9564508,-122.1022023
Sand Plant,36.9549815,-122.091125
Natural Bridges,36.9508769,-122.0573367
Seabright 1,36.9639347,-122.0114063
Seabright 2,36.9633012,-122.0037793
New Brighton,36.9786367,-121.9348389
Seacliff,36.9724327,-121.9144615
Twin Lakes,36.9613978,-121.9965978
Blacks,36.9605432,-121.9930337
Younger,36.949356,-122.067038
