Deployment #,SD #,Date,Time,Video #,Carcass #,Partial Scavenge?,Full Scavenge (Carcass Removal)?,Camera Trappers? ,Deer Mouse,Common Raven,American Crow,Rat,Coyote,Domestic Dog,Raccoon,Gray Fox,Striped Skunk,Virginia Opossum,Western Gull,Domestic Cat,Human Visitors,Domestic Dog Visitors,Camera Failure?
1,3,2/22/2023,6:40:32,0006,10,FALSE,TRUE,FALSE,,1,,,,,,,,,,,FALSE,FALSE,
1,3,2/22/2023,7:29:49,0007,NA,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,FALSE,
1,3,2/21/2023,7:37:40,0001,5,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,FALSE,
1,3,2/21/2023,8:11:28,0002,5,FALSE,TRUE,FALSE,,1,,,,,,,,,,,FALSE,FALSE,
1,3,2/21/2023,17:51:31,0003,NA,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,FALSE,
1,3,2/21/2023,17:52:50,0004,NA,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,FALSE,
1,3,2/21/2023,17:54:13,0005,10,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,0:14:17,0020,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,0:47:13,0021,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,1:41:33,0022,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,4:28:41,0023,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/22/2023,5:11:48,0053,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,6:17:30,0024,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,7:29:26,0025,NA,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/22/2023,8:31:57,0054,NA,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/22/2023,8:34:34,0055,NA,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/22/2023,8:36:27,0056,NA,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/22/2023,8:37:46,0057,NA,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,8:59:40,0001,3,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,9:19:49,0002,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,9:26:26,0003,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,9:56:04,0004,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,TRUE,
1,4,2/21/2023,10:05:14,0026,NA,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,10:06:54,0027,6,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,11:01:55,0028,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,11:03:17,0029,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,11:04:14,0030,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,11:07:55,0031,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,11:23:37,0032,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,11:28:10,0033,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,11:29:54,0034,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,11:54:07,0035,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,11:58:24,0036,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,11:59:16,0037,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,12:00:43,0038,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,12:11:14,0039,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,12:21:34,0040,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,12:39:01,0041,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,12:41:35,0042,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,TRUE,FALSE,
1,4,2/21/2023,12:47:36,0043,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,TRUE,FALSE,
1,4,2/21/2023,13:42:02,0044,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,13:49:53,0045,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,13:58:13,0005,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,13:59:05,0006,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,14:00:07,0007,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,14:13:12,0008,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,14:14:59,0046,6,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,14:19:42,0009,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,14:20:58,0010,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,14:26:36,0012,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,14:45:38,0011,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,14:49:23,0013,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,14:55:24,0014,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,14:58:37,0015,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,15:00:40,0016,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,15:14:16,0017,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,TRUE,FALSE,
1,4,2/21/2023,17:19:18,0047,NA,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,17:22:26,0048,9,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,17:39:17,0049,9,FALSE,FALSE,FALSE,,,,,,,,,,,,,TRUE,FALSE,
1,4,2/21/2023,20:23:53,0050,9,FALSE,TRUE,FALSE,,,,1,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,22:23:28,0051,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/21/2023,22:30:44,0052,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,23:32:46,0018,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,4,2/20/2023,23:48:57,0019,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,8,2/22/2023,0:12:57,0100,11,TRUE,FALSE,FALSE,1,,,,,,,,,,,,FALSE,FALSE,
1,8,2/22/2023,0:15:28,0101,11,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,8,2/22/2023,0:27:00,0102,11,FALSE,TRUE,FALSE,,,,,1,,,,,,,,FALSE,FALSE,
1,8,2/22/2023,0:28:57,0103,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,8,2/22/2023,0:29:59,0104,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,8,2/22/2023,0:31:26,0105,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,8,2/22/2023,0:33:24,0106,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,8,2/22/2023,0:59:52,0107,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,8,2/22/2023,1:17:21,0108,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,8,2/22/2023,1:32:00,0109,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,8,2/22/2023,1:42:45,0110,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
1,8,2/22/2023,2:27:04,0111,NA,FALSE,FALSE,FALSE,,,,,,,,,,,,,FALSE,FALSE,
